berita,label
jokowi “meminta” prabowo alihkan kewenangan gibran terpilih presiden,1
uang masuk pintu tol langsung masuk rekening pengusaha cina,1
pemkab bogor bantu kemenkominfo salurkan stb siaran tv digital,0
bank indonesia resmi mengeluarkan uang 1.0?,1
anies diseret kpk jokowi tolak kaesang,1
lowongan kerja pt brantas abipraya (persero),1
pesan wabup klaten anak muda sumpah pemuda ke-95,0
"gempa bermagnitudo 5,6 guncang bengkulu selatan 25 maret 2024",1
uang kertas bergambar messi timnas argentina,1
kpu nyatakan 12 parpol lolos verifikasi administrasi,0
pemadaman listrik paris juli 2024,1
“saya king kevin 170 orang tercepat {halo king} transfer 2 juta acak.”,1
hyundai pamer teknologi ioniq 6 semarang,0
gelombang 27 meter telan puluhan warga belitung 16 mei 2024,1
"5 peran jamur kehidupan manusia, ciri-ciri, jenisnya",0
kaleidoskop - pilkada berliku pandemi,0
lingkaran merah tabung gas lpg berubah hitam meledak,1
fitur google search bantu pengguna bicara bahasa inggris,0
sederet kegiatan mengawali tahapan pemilu 2024,0
"“ternyata demo 22 agustus 2024 disponsori tom lembong, bos timah 271 triliun”",1
baim hadiah rumah pengikut tiktoknya,1
"mengenal imperialisme: pengertian, kategori dampaknya",0
"menjajal asus vivobook s 15 oled bape edition, kencang stylish",0
video persilangan ikan harimau,1
siti zuhro prediksi peluang parpol lolos parlemen,0
sederet tantangan industri baja kejar target ri negara maju,0
selamat! 9 dosen peneliti itb masuk world's top 2% scientists 2023,0
peran kontribusi telkomsel mewujudkan kemajuan indonesia,0
ketua mpr pemerintah panggil kpu terkait dugaan kecurangan,0
cdm basuki: perbaiki program atlet olimpiade,0
"idi peringatkan wabah pengerasan otak sumsum tulang belakang, diabetes",1
kpu ri rancang pkpu hadapi pemilu 2024,0
jokowi presiden ijazah palsu,1
testimoni dokter terawan deddy corbuzier pengobatan prostat dokter operasi,1
asn pemkot medan pakai baju kasual selasa november,0
video demo cirebon 1 juni 2024,1
– israel menculik warga sipil gaza rumah sakit al-shifa dibawa kamp konsentrasi,1
kpu: verifikasi faktual pendukung dharma -kun pakai sensus,0
"50 jargon santri 2023 tema, kreatif seru",0
kreator konten felicia putri tjiasaka bikin komunitas forum saham,1
"yuk daftar turnamen mlbb dana x google play, total hadiah ratusan juta!",0
johnny plate: pendapat tersangka politik?,0
gas lpg 3kg berisi air,1
bawaslu dorong asn pemkab bekasi ikrarkan pakta integritas,0
jutaan warga-ulama ramaikan jalan sehat santri 2023,0
judul artikel liputan 6 “presiden palestina : indonesia bantu hamas bantu warga palestina”,1
wawancara metro tv promosikan situs judi online,1
cina menguasai indonesia ikn,1
sosok penyemangat nunung cepat pulih kanker payudara,0
gambar tangkapan layar artikel jawapos.com berjudul “prabowo stroke tau kalah nyapres putaran”,1
"dicontoh, tips irit tukar uang asing ala ayudia bing slamet",0
akun whatsapp pj sekda bario utara jufri,1
tujuan invasi darat israel gaza?,0
"kominfo kerja medsos, komitmen take down hoaks 1x24 jam",0
anies gus imin capres cawapres putaran 2024,1
bromo hijau pulihkan kunjungan wisatawan ekonomi warga,0
tentara cina berani bentak tni,1
cegah aksi borong dukungan paslon pilkada,0
6 fakta tudingan polres banyuasin lamban usut tabrak lari 40,0
ribuan penggemar moge hadiri jambore nasional ii mbi bandung,0
jhon lbf giveaway motor motor nmax,1
video pria menemukan ufo sungai citarum,1
"balapan mandalika, motor alex rins disematkan motif batik lombok",0
“bill gates who serukan militer menangkap penolak vaksin”,1
kpu: debat pilkada 2024 dilaksanakan maksimal kali,0
indonesia turunkan 32 orang defile asian games 2023,0
warga berhamburan akibat letusan semeru 24 juni 2024,1
disease x bocoran pandemi disiapkan who,1
"rayakan ultah ganjar, relawan bagikan 1.000 bunga mawar 65 ambulans",0
video ahy turun langit kampanye pemilu 2024,1
lowongan kerja spbu pertamina,1
video situasi terkini sekitaran gedung mahkamah konstitusi,1
pemain bulutangkis meninggal vaksin covid,1
"kemarin, mendagri terkait pbj peluang pdi perjuangan gabung kib",0
prabowo resmikan sumur air bersih jateng: laksanakan perintah presiden,0
dugaan penyebab keretakan jembatan kaca kampung warna-warni malang,0
prabowo bilang “setujukah rakyat putra putri wajib militer?”,1
dasco gerindra tangerang menangkan prabowo-gibran: muda berkarya,0
panglima yudo ksad agus: tni netral pemilu 2024,0
"smk stella maris dibobol mantan satpam, springbed kotak tisu digondol",0
"listrik nasional, sejarah 27 oktober 1945",0
"kejurnas gymnastics 2023 selesai, dki jakarta juara",0
kelakar anies bilang amin ibadah kampanye,0
sistem penilaian korea selatan,1
"“cacar monyet brebes, bupati brebes korban pertama”",1
"ganjar ancam pidanakan pelaku ""jual-beli"" sktm",0
perjuangan siswa berangkat sekolah ditengah proyek ikn kereta cepat,1
bawaslu selesaikan 81 sengketa penyerahan dukungan dpd,0
prabowo gagal dilantik digantikan gibran,1
kemdikbud: science film festival 2023 karya kolaboratif sineas & pegiat lingkungan,0
gambar gurita raksasa bali,1
"hematoma: jenis, penyebab, gejala, mengobati mencegahnya",0
presiden jokowi masyarakat mengkritik kenaikan pangkat bintang 4 menteri pertahanan prabowo subianto,1
ahmad dhani alami kecelakaan meninggal,1
tornado dahsyat sapu bersih ratusan rumah tanjungpinang,1
pp muhammadiyah respons din syamsuddin: aspirasi politik warga cair,0
video kecelakaan kapal gowa sulawesi selatan,1
"biar sat-set, 3 teknik dikuasai main futsal",0
"labuan bajo diguncang gempa 10,9 magnitudo",1
tes cepat penyelenggara pilkada jember cegah klaster covid-19,0
akun facebook jhon lbf official hadiah motor follower,1
"dki kemarin, dharma pongrekun melaju transaksi jgs rp12 triliun",0
kpu sumbar tes cepat ribuan petugas verifikasi faktual,0
kejagung sita uang rp 76 miliar 1 kilogram emas rumah harvey moeis,1
prima layangkan gugatan sengketa verifikasi parpol bawaslu,0
pengobatan ida dayak hadir bontang 11-15 agustus 2024,1
raffi ahmad promosikan situs slot,1
allied telesis produksi switch batam,0
giveaway 30 juta akun facebook “soimah berbagi”,1
gubernur khofifah dorong santri cegah perpecahan pemilu 2024,0
video bantuan 10 juta jokowi syarat bagikan video sebanyak-banyaknya,1
testimoni penerima hadiah giveaway 30 juta raffi ahmad,1
pemungutan bea cukai pengiriman peti jenazah,1
akun tiktok chairul tanjung @chairultanjung7,1
pemprov kalteng usung integrasi data sektoral data indonesia,0
gus ali gondrong dukung ganjar-mahfud md: warga nahdliyin,0
ratusan rumah batang natal ambles diterjang banjir 8 september 2024,1
samsung pamer kamera galaxy s24 ultra bikin iphone 15 pro max ketar-ketir,0
"indonesia diterpa gelombang panas, muncul larangan minum air dingin",1
"mahasiswa its startup kurangi rusak mesin, juara denmark",0
kpu nyatakan hasil verifikasi dukungan ktp terbuka,0
kejanggalan tabiat misteri kematian wanita lembah cisolok,0
bendera golkar dicabut satpol pp karangasem dipasang,0
hasto kristiyanto diseret penjara akibat melawan jokowi,1
video jokowi mengancam rakyat,1
pijat area jempol menyembuhkan mata rabun,1
calon bupati pilkada solok lolos tes kesehatan,0
"bongkar korupsi bobby, jurnalis tempo diintimidasi",1
aturan kejam kanye west bianca censori: bicara & makan sesuai aturan,0
melampaui regulasi ekonomi digital,0
erick thohir pecat imam sudjarwo dianggap mengurus pbvsi,1
jet misterius israel,1
"pln antisipasi gangguan musim hujan sulsel, sultra, sulbar",0
dharma pongrekun-kun wardana penuhi syarat verifikasi faktual,0
koalisi sipil lapor ombudsman dugaan bumn pasok senjata junta myanmar,0
aep resmi dipenjara penyebar hoax vina,1
kepala pemain gs caltex bocor terkena smash megawati hangestri,1
riadi saputra pembawa bendera indonesia opening asian games 2023,0
alasan bawaslu kabulkan gugatan pbb peserta pemilu 2019,0
"demo istana 22 juli 2024 ramai, sepi media tv",1
israel ngeri masuk terowongan hamas: lawan hantu,0
kawasaki giveaway uang 25 juta motor zx-25r,1
"foto “jika petani oecusse kegiatan tani naktuka, tentara indonesia mengikat bertani lagi.",1
pemerintah berencana dana abadi pariwisata rp 1 t,0
kpk merampas harta jokowi,1
pesan himbauan dubes kl bahaya makanan kaleng thailand peringatan idi minuman penyebab pengerasan otak,1
ketua kpu ketuk palu mengesahkan anies baswedan presiden ri,1
"penertiban baliho caleg batam diprotes tebang pilih, bawaslu",0
klasemen asian games 2023: indonesia peringkat 9,0
video donald trump mendorong kasar pria,1
mahasiswa capek bangun tidur? hati-hati penyebabnya,0
"yenny wahid dukung ganjar, pbnu ingatkan warga nu bebas tentukan pilihan",0
kpu surati parpol rencana pendaftaran caleg pemilu 2024,0
“pkb berkoalisi indonesia maju”,1
kpu revisi peraturan terkait verifikasi partai politik,0
pdip gibran lakukan pembangkangan cawapres prabowo,0
kpu gunung kidul menghitung kebutuhan anggaran pengadaan apd,0
"artikel detik news: “presiden rusia vladimir putin : untungnya indonesia demo injak bendera israel, munafik mata dunia”",1
anies baswedan ketahuan puasa,1
8 pemenang tour of kemala 2023 race 55 km,0
kpu diy coret 11 nama wna dpt,0
"kemarin, geopolitik karno agama sumber solusi global",0
usu kepung kantor prabowo imbas kenaikan ukt besar-besaran,1
kpu: 18 parpol lolos verifikasi administrasi,0
dkpp berhentikan amnasmen jabatan ketua kpu sumatera barat,0
kader golkar bergerak menangkan prabowo-gibran,0
"fasilitas rs wirasakti lengkap, pangdam udayana resmikan 4 ruangan",0
"kemenag buka pendaftaran penguatan digitalisasi ptkis, bantuan 500 juta",0
filter rokok mengandung darah babi,1
"dibuka ini, pameran pro avl indonesia expo hadirkan audio visual lengkap",0
kpu jember verifikasi faktual 14 parpol,0
seleksi komisioner kpu 4 daerah jabar diulang,0
komisi i datangi kediaman jenderal andika verifikasi faktual,0
kpk tangkap boby nasution gibran dipecat paksa,1
"perang israel-hamas, dk pbb gagal sepakati resolusi usulan as-rusia",0
"kpu tekankan data 17,5 juta dpt wajar",0
kpu garut verifikasi dukungan 10 calon dpd ri,0
feminisme gerakan kesetaraan gender perempuan bidang,0
fa usulkan penggunaan 'wasit robot' inggris,0
mantan komisioner mengadu komnas ham terkait pencatutan nik,0
video 1 juni demo cirebon,1
dinas pendidikan padang buka ppdb smp negeri tahap jaringan,0
respons cak imin yenny wahid dukung ganjar-mahfud,0
turis china dipaksa tour guide belanja oleh-oleh korea,0
gebyar undian pengguna aplikasi bank kaltimtara,1
"foto “orang memancing pantai miami, florida, amerika serikat”",1
mantan gubernur jawa barat danny setiawan meninggal 27 september 2024,1
"sumur resapan direvisi heru, air dimasukkan rumah",1
"prabowo ketemu megawati, hasto: pertemuan",0
"real count pilpres 2024 sctv tayangkan perolehan suara anies-muhaimin 58,77 persen",1
komisi i dpr pastikan paripurna senin ambil keputusan calon panglima,0
presiden israel berterima kasih 5 kader nahdatul ulama,1
kpu kolaka verifikasi faktual calon perseorangan,0
foto telanjang tahanan tersebar-pria digigit komodo,0
yusril mundur tim hukum 02,1
giovanna milana megawati hangestri bergabung pink spider,1
rangka esaf honda digaransi 5 tahun!,0
najwa shihab dirawat rumah sakit penyakit tulang,1
gebyar undian berhadiah nasabah maybank,1
nik ktp jakarta dinonaktifkan permanen 1 juni 2024,1
kpu surabaya sikapi data dukungan calon perseorangan bermasalah,0
"apple guyur rp 15,8 triliun garap pembunuh chatgpt",0
prabowo pura-pura muslim,1
"dukung prabowo-gibran, bahlil lahadalia pidato cawapres u-40",0
keributan pemilik tanah mengamuk tanahnya akses proyek pltu,1
video anak-anak gaza tidur,1
"psis luncurkan 'the pryto', jersey ketiga mahesa jenar semarang banget",0
link pendaftaran undian pengguna livin by mandiri,1
"dipidanakan bantu paspor, hukum?",0
rebusan alang-alang jeruk nipis cegah sembuhkan gagal ginjal,1
ketua kpu: pemilu diadakan 5,0
"bunuh ri nanjak terus! warning, tanda orang hidup",0
pilkada damai sehat,0
"bor sumur air tanah, wajib izin kementerian esdm",0
gratis penerbangan 6 philippine airlines bayar 47rb rupiah,1
nasa prediksi kiamat internet 2025,1
"pos sedunia 9 oktober: sejarah, tema, link twibbon",0
video sule mempromosikan judi online,1
presiden vladimir putin: “yesus berkulit hitam pengikut-nya berkulit hitam”,1
cak imin selamat presiden prabowo,1
prabowo: verifikasi faktual kontrol parpol,0
“ini bukti video uang bayar tol langsung masuk rekening cukong china”,1
"masinton pdip usul hak angket mk, pimpinan dpr",0
"ruu pelemahan kpk ruu perampasan aset bersuara, ramai ruu pilkada 2024",1
video opposite pink spiders mengaku kagum smash megawati hangestri,1
"seruan moral ""pemilu 2024 berkualitas-demokrasi bermartabat""",0
gambar artikel detik news berjudul “putra mahkota arab saudi: indonesia sibuk urusan negara lain”,1
heboh ketua dpac pkb dipecat dukung-pasang baliho gibran,0
momen fx rudy bertemu megawati melapor,0
6 perlawanan daerah penjajahan 1800,0
kakak jokowi sekjen partai komunis tiongkok,1
pasangan bajo selangkah kontestan pilkada surakarta,0
banjir hanyutkan rumah warga 3 kecamatan,1
uang pecahan rp75.000 berlaku transaksi jual beli,1
toko emas sandra dewi disita korupsi timah rp 271 t,1
"prabowo: “atas kemenangan putaran ini, sedekah ribuan sprei kasur”",1
"lirik lagu bangun pemudi pemuda, makna profil penciptanya",0
air rebusan daun sisik naga ampuh hilangkan asma,1
“ruben onsu digrebek polisi akibat narkoba”,1
video pria terkenal memiliki kepala,1
ikan aneh ditemukan probolinggo,1
pidato presiden cina pulau kalimantan jaminan hutang,1
"menguak terowongan misterius hamas, dalamnya 70 meter",0
"dear paksu, 6 trik ampuh nge-boost performa 'strong' ranjang",0
"politik etis belanda, mengenal sejarah kebijakannya",0
mengatasi alergi kulit fermentasi nanas,0
massa geruduk kpk bawa bukti korupsi 20t ikn,1
pijat refleksi tangan menghilangkan bau mulut penyebab nafas bau,1
podcast: nasib rupiah politik konflik timteng,0
video tangkapan layar artikel gelora news penambang emas ilegal kalbar bekerjasama pengkhianat negara,1
pesan wa tawaran motor lelang wali kota padang fadly amran,1
kapolri terseret konflik golkar,1
“nata de coco terbuat plastik”,1
rusia geram serangan israel suriah sering: diterima!,0
"artikel nias pro news berjudul “perdana menteri slowakia : robert fico, menolak agama islam agama negaranya, bisa? demo yuk !!”",1
akun facebook wali kota samarinda haji andi harun,1
“fenomena aphelion menyebabkan suhu bumi dingin agustus”,1
kpu hadapi 48 perkara tahapan pendaftaran parpol pemilu 2024,0
video massa menghadang mobil mengancam jokowi,1
calon bupati pemalang vicky prasetyo bagikan bantuan tiktok,1
“pbb kecam serangan iran israel”,1
"padang, berkas pendaftaran 10 parpol lengkap, perindo",0
prestasi sektor keuangan: stabil kekacauan global,0
del piero: sepakbola italia membosankan!,0
kpu palangka raya temukan keganjilan: orang urus partai berbeda,0
ustadz koh dennis mengiklankan situs judi,1
sayyid zulfikar cucu cicitnya nabi muhammad saw,1
aksi warga yaman 23 februari 2024,1
"gempa 10,1 magnitude guncang aceh 1 maret 2024",1
"berkat bantuan fifa, indonesia masuk olimpiade paris",1
sumur resapan anies baswedan ditutup sebabkan banjir,1
psi prabowo menyesal didukung umat islam,1
stanford university dibangun ikn,1
hakim bebaskan tannur ditangkap,1
"lowongan kerja bumn pt bukit asam, posisi syarat lengkapnya",0
"baliho ganjar-mahfud bali dicopot jokowi kunker, tpn: dasarnya?",0
"jelang pilpres, kapolda metro imbau warga menghargai beda pilihan",0
“akun facebook edwin sumantha”,1
video anies baswedan uas jualan kaos donasi palestina,1
undian berhadiah bank jatim pengguna layanan jconnect mobile,1
itb perpanjang pendaftaran calon tenaga kependidikan 24 oktober,0
presiden jokowi perintahkan pelantikan prabowo ditunda,1
syl putar video bukti jokowi terlibat korupsi,1
dunia ini: produk selai australia vegemite berulang ke-100,0
tahapan seleksi penerimaan calon praja ipdn,0
“suara ganjar mahfud md drastis februari”,1
"gempa 9,5 magnitude guncang maluku 17 februari 2024",1
kap mobil china melembung suhu ekstrim,1
filter rokok mengandung darah babi,1
faida setuju gerakan lawan covid-19 tema debat pilkada 2020,0
akun instagram tiruan @jhon_lbfoficial mengatasnamakan jhon lbf,1
megawati mengiklankan obat nyeri sendi,1
teknologi ai canggih sisi gelapnya,0
kpu memajukan jadwal penetapan hasil pemilu 2024 28 februari,1
tim hukum anies diusir gara-gara bawa bukti palsu,1
verifikasi faktual calon perseorangan belu malam,0
papua barat pleno rekapitulasi suara tingkat provinsi,0
infografis tarif jaklingko gratis,1
jabar ini: kegiatan kaesang 'dicolek' pemprov jabar,0
artikel detik news: “putra mahkota arab saudi indonesia sibuk urusan negara lain”,1
kisah bule prancis curi perhatian konferensi beta ufo 2023,0
bamsoet apresiasi taksi terbang ehang raih type certification evtol,0
sungai bandung meluap menenggelamkan ribuan rumah,1
"demo 9 jokowi, massa bakar ban gedung dprd jateng",0
video jembatan “iron bridge” roma roboh baru-baru,1
thailand gaet turis mancanegara sim card gratis,0
4 alasan futsal olahraga layak pilih,0
demo menolak jokowi berkuasa,1
"kebugaran jasmani: pengertian, manfaat, contoh latihannya",0
pengajuan pinjaman online bni tiktok,1
karma tinggalkan anies: anggota dpr ri nasdem terancam ditangkap kpk,1
jakarta diliburkan 5 september kedatangan paus fransiskus,1
prabowo pilih puan wapres menggantikan gibran,1
dpw psi jakarta sambut verifikasi kpu,0
menag terseret korupsi gratifikasi haji,1
lowongan kerja bank bri september 2024,1
video misa paus fransiskus gbk,1
"bobby charlton wafat, skuad inggris 1966 tinggal menyisakan legenda",0
air mineral layak konsumsi mengandung zat besi,1
bantuan sosial senilai rp27.300.000 bpjs diklaim mengirim kode,1
pertolongan penyakit stroke menusuk jari,1
3 masjid jerman terima paket ancaman islamofobia,0
"mata uang brics rilis, gambar bendera indonesia",1
"pecahkan gulungan kuno, mahasiswa ilkom gaet rp 630 juta",0
hasto isu desakan jokowi pdip,0
pemkab bone gelar vaksinasi massal buntut 383 warga digigit anjing rabies,0
presidium kahmi menantang sulteng hasilkan munas berkualitas,0
alex ferguson marselino egois match indonesia vs irak,1
gebyar undian berhadiah khusus pengguna bsi mobile banking,1
danny dorong milenial ganti posisinya ketua tpd ganjar-mahfud sulsel,0
guru itb khasiat tempe kurangi menopause-kanker,0
osteoporosis sedunia 2023: sejarah tema peringatan,0
mengoptimalkan pencegahan pelanggaran pemilu ikp 2024,0
foto pekerja mesir membangun piramida 2549 sm,1
ribuan massa tni bersatu lakukan ancaman jokowi,1
demokrat jateng lakukan verifikasi faktual kepengurusan,0
video jenazah palestin meledak akibat dipasang bom israel,1
anies baswedan merapat rumah prabowo,1
akun whatsapp bupati banggai,1
amanat pembina upacara sumpah pemuda 2023 resmi link download pdf,0
jubir anies dorong politik dibiayai publik kurangi korupsi gila-gilaan,0
istana perintahkan kominfo mematikan internet perhitungan suara pilpres,1
kpu: partai manfaatkan perbaikan,0
jokowi berdebat sengit keuskupan jakarta dilibatkan misa akbar paus fransiskus gbk,1
kejujuran pemilu 2024 bingkai kebenaran,0
hezbullah berhasil menghancurkan 100 lokasi palestina diduduki israel,1
harapan menpora korupsi bts namanya dipertaruhkan,0
pengumuman tkn prabowo-gibran? gerindra,0
dugaan kartel bunga pinjol berlanjut penyelidikan kppu,0
"pulau dewata tragis, gelombang mencekam melalap habis wilayah pantai bali",1
panda nababan sentil gibran mudah berkhianat berbohong,0
kpu kapuas hulu temukan orang asn terdaftar parpol,0
link download logo tema santri nasional 2023 filosofinya,0
"apple m3, m3 pro m3 max pakai chip 3nm, sekencang apa?",0
komplek perumahanmu pakai one gate system? pengertian manfaatnya,0
kapolres wajo tawarkan mobil bekas whatsapp,1
"rumah demokrasi: butuh anggota jaga dkpp ""superbody""",0
kepala intelijen ukraina kepuasan serangan teroris crocus moscow,1
"pelaut ri singapura ngeluh diklat syarat lisensi, menhub kasih solusi",0
"prabowo lepas tangan ikn, serahkan ikn gibran",1
sertifikat halal kfc dicabut mengandung minyak babi daging burgernya layak dikonsumsi manusia,1
timnas guinea diusir presiden prancis olimpiade,1
program bantuan bpjs 2024 rp25 triliun masyarakat indonesia,1
kpu kota madiun temukan parpol penuhi syarat keanggotaan,0
teks doa upacara sumpah pemuda 2023 resmi sesuai panduan kemenpora,0
bawaslu tunggu kelengkapan berkas gugatan pbb pkpi,0
kip aceh coret wna dpt,0
ktp anggota kpu ditemukan berkas dukungan calon perseorangan,0
gebyar undian berhadiah bank lampung,1
"daftar motor listrik subsidi 38 model, honda?",0
kondisi bandara israel serangan iran,1
heru apresiasi 604 kontingen dki peraih juara popnas 2023,0
kpk darurat judi online bkkbn wajibkan anak perempuan,1
foto najwa shihab menerima produk ac portable,1
kpu jatim terima pendaftaran 21 calon dpd ri jelang pemilu 2024,0
dkpp pelajari hasil sidang kode etik kpu pangkep,0
"2 kunjungi kupang, kaesang harap psi prabowo-gibran menang ntt",0
merry riana indonesia bubar,1
spek mobil dinas sukarno cadillac fleetwood 75 limousine,0
takem radja pono-herman hegi lolos verifikasi pilkada sabu raijua,0
indonesia vs belanda 25 juli 2024,1
gerindra bogor targetkan 70% suara prabowo-gibran,0
indonesia lolos piala dunia panahan berkuda 2023,0
asian games 2023 hangzhou resmi,0
garam dapur mengandung serpihan kaca,1
video surya paloh mencium tangan jokowi klaim jabatan,1
kpu biak verifikasi dukungan paslon perseorangan yesaya-willem,0
praktis! kelas fitness hadirkan 1 on 1 online personal trainer premium,0
"daftar nasional november 2023, tanggal merah?",0
menpora dito ngaku sosok kembalikan uang rp 27 m,0
tautan pendaftaran penerima bansos 2024,1
ashanty bagikan uang 10 juta merangkai,1
"israel tantang indonesia, prabowo ancam hancurkan israel mengganggu tni bertugas lebanon",1
pria ditangkap membentangkan bendera british kerumunan aksi bela palestina kota liverpool,1
"diskusi mahasiswa jember, anies ajak anak muda apatis politik",0
kpu bengkulu tunggu kelengkapan persyaratan delapan calon senator,0
undian gong bali dwipa 2024 bank bpd bali,1
partai garuda pendukung capres bawa gus dur pertarungan politik,0
“surat kantor unit kejahatan siber nasional”,1
"lampu putih cahayanya beda-beda, penjelasannya",0
gibran disertai narasi “dek…kamu mana?” artikel kompas.com,1
pertamina buka lowongan kerja oktober 2024,1
"artikel “akang sule meninggal dunia, akibat kecelakaan maut”",1
prabowo menikahi sofiatun gudono,1
reaksi pan kabupaten cirebon kantor digembok eks ketua,0
jordi dicoret timnas indonesia mata-mata malaysia,1
gambar artikel berita berjudul “mulai 1 september 2024 pertalite dijual spbu pertamina”,1
"indonesia gagal capai target asian games 2023, nasib bonus?",0
satpol pp jembrana ultimatum parpol turunkan baliho liar,0
prabowo serang pdip ricuh,1
video penampakan kebakaran tel aviv oktober 2024,1
"tpn: visi jokowi indonesia maju, ganjar-mahfud indonesia unggul",0
"suzuki produksi massal suv listrik 2024, masuk indonesia?",0
"politik, ruu mk latihan perang ranjau tni al",0
survei indikator magnet kuat jokowi elektabilitas pdip,0
bpjs kesehatan mengeluarkan bantuan dana resmi 125 juta 2024,1
who pemerintah mega lockdown,1
program tiktok internasional grup whatsapp,1
anies curhat lukisan hatta kalah pilpres,1
sekjen : pegawai kpu solid kawal suksesnya pemilu 2024,0
mudah cek kesehatan sendok makan,1
11 rekomendasi futsal kota kabupaten cirebon,0
kpu nyatakan prima penuhi syarat ikuti verfak perbaikan,0
kpu berharap pemkot bandarlampung penuhi sisa anggaran tahap,0
menakar kekuatan ganjar-mahfud yenny wahid labuhkan dukungan,0
koalisi masyarakat sipil desak kpu jamin transparansi rekrutmen kpud,0
pemda diy warga lapor asn netral,0
permainan ketapel tingkatkan motorik mudah konsentrasi lho,0
"kutipan komentar putin terkait perbatasan amerika-meksiko, “ironis”",1
sandra dewi masuk rumah sakit jiwa asetnya disita negara,1
pengusiran warga negara china pekanbaru,1
"membangkang basarah pdip, gibran bilang",0
amien rais: verifikasi ulang partai ummat wujud keindahan demokrasi,0
tanaman tapak dara menyembuhkan kanker,1
"konflik israel-palestina, adakah jalan perang berkepanjangan?",0
video dubes turki menolak salaman presiden jokowi,1
walkot semarang ajak pemuda pancasila jaga kondusivitas jelang pemilu,0
polda papua siagakan 2.577 personil amankan pilkada 11 kabupaten,0
tautan rekrutmen pegawai bumn,1
"kim kardashian rilis bra berputing, alasannya auto diolok-olok netizen",0
"6 kebiasaan sehari-hari meningkatkan kesehatan mental, dilakukan?",0
pedoman susunan upacara sumpah pemuda 28 oktober 2023 sesuai kemenpora ri,0
china mendirikan kantor polisi ketapang kalbar,1
spesifikasi suzuki burgman street ex diduga meluncur imos 2023,0
gita bantah jokowi instruksi menangkan salah paslon pilpres,0
"modal rp 365 miliar, aplikasi bahasa teknologi ai perluas pasar ri",0
guinea mundur playoff olimpiade,1
"hnw pemuda inisiator, maju terdepan selamatkan bangsa",0
rutin minum es makan memicu kerusakan ginjal,1
"video “heboh, ditemukan paus biru terdampar pantai”",1
partai ummat keberatan kpu hasil verifikasi faktual,0
bunga telang solusi atasi mata buram hitungan,1
kip aceh: 38 calon anggota dpd lolos verifikasi administrasi,0
cover majalah tempo gibran “pusing ngapusin jejak fufufafa kaskus”,1
ustadz solmed iklankan judi online seret nama felix siauw,1
gedung bawaslu mobil plat merah dibakar demo diskualifikasi prabowo-gibran,1
bendera dikibarkan tiang inggris,1
ratusan guru tolak kemenangan prabowo,1
jokowi baca buku “dasyatnya siksa kubur”,1
2 kabupaten jawa timur ringsek gelombang hebat,1
"gempa bermagnitudo 4,7 guncang bayah banten 18 april 2024",1
"pantai barat tsunami, ribuan jiwa tertolong",1
"video pernyataan wasit var laga indonesia vs uzbekistan, “hanya menjalankan tugas”",1
samsung menarik iklan senilai $1 miliar olimpiade paris,1
"sandi unggul 45,4 persen penghitungan kpu",0
grup whatsapp program afiliate tokopedia,1
jppr sulsel dorong penyelenggara pemilu 2024 transparan beritegritas,0
"dituduh tutupi judi ilegal fagioli, juventus buka suara",0
kpu terima pendaftaran enam calon perseorangan jatim,0
rian ernest-yusiani tahapan verifikasi administrasi dukungan,0
presiden jokowi memalsukan kandungnya,1
panitia pon aceh memaksa atlit muaythai memakai hijab pertandingan,1
"gempa bumi 6,7 magnitudo guncang halmahera, ribuan warga mengungsi",1
indoxxi lk21 bahaya! link nonton film bebas malware pencuri data,0
"pemkab selayar teken nphd pemilu 2024, anggaran 4% rp 33,3 m",0
verifikasi dtks penyaluran bansos sasaran,0
ketua kpu hasyim asy’ari resmi tersangka pelecehan seksual,1
sengitnya berebut juara hadiah ratusan juta axis nation cup 2023,0
cristiano ronaldo kena pasal zina iran? faktanya,0
potret enuh nugraha kuliah teknik kelautan itb,0
video gibran makan swike,1
jokowi diam-diam batalkan prabowo presiden,1
sandi raup 530.449 suara pilkada kabupaten malang,0
video “penampakan kapal as bolong dibom houthi”,1
jokowi-ketum pbnu gus yahya masuk top 50 tokoh muslim berpengaruh dunia 2024,0
cdm kontingen indonesia asian games 2022 dibubarkan,0
kpu bengkulu sosialisasikan peraturan kpu nomor 4 pengurus parpol,0
“ivan gunawan berbagi hadiah akun facebook igun berbagi”,1
"terbukti riset! lari ampuh atasi depresi, efeknya setara minum obat",0
dokter jepang temukan air hangat sembuhkan kesehatan,1
video kota tel-aviv hancur diserang yaman,1
pesan whatsapp sekda kota malang erik setyo santoso menawarkan donasi,1
20 contoh ceramah santri nasional 2023 kreatif inspiratif,0
peretasan perangkat pesan whatsapp “ucapan selamat” berisi video foto,1
video anak yatim palestina terlantar februari 2024,1
pemkot kirim tim teliti keretakan jembatan kaca kampung warna-warni malang,0
“turki kirim pasukan tempur gaza bantu palestina”,1
legislator kapuas kpu kaji ulang pengurangan kursi dapil iv,0
"gen pemicu alzheimer, chris hemsworth mati-matian ubah gaya hidup",0
gelombang mengamuk wilayah indonesia 25 maret 2024,1
asn wajib berbenah bikin pelayanan kelas dunia,0
koalisi indonesia maju jatim incar khofifah ketua tpd prabowo-gibran,0
misteri tsunami dahsyat 373 silam terpecahkan,0
video “detik-detik tentara kena baling-baling pesawat parkir”,1
